Player Name,Batting Type,Hand,Pitching Type,Hand Bonus,Season,bruh,,,,
Quin Mo-Lac,Neutral,Left,,,2,,,,,
Jaco Banaco,Contact,Right,,,2,,,,,
Benny Rodriguez,Neutral,Right,,,2,,,,,
Spaghetti Hitchens,Neutral,Right,,,2,,,,,
Twinkie Power,Neutral,Left,,,2,,,,,
Rico Veringhipster,Contact,Left,,,2,,,,,
Nathaniel Booth,Power,Left,,,2,,,,,
Ross Jackson,Contact,Left,,,2,,,,,
Mince Pelling,Power,Left,,,2,,,,,
Jason Girth,Power,Right,,,2,,,,,
Jack Alpha,Neutral,Right,,,2,,,,,
Robin Reynolds,Power,Right,,,2,,,,,
James Pablano,Neutral,Left,,,2,,,,,
Cody Omega,Neutral,Right,,,2,,,,,
Dougal McGoogol,Power,Left,,,2,,,,,
Brent Royal,Neutral,Left,,,2,,,,,
Steve Shurwin,Contact,Left,,,2,,,,,
Jebediah MacGuffin,Power,Right,,,2,,,,,
Sleve McDichae,Neutral,Left,,,2,,,,,
Logen Ninefingers,Contact,Left,,,2,,,,,
Justin Paglia,Power,Left,Strikeout,,2,,,,,
Frankie Stickyfingers,Power,Right,Strikeout,,2,,,,,
George Ewell,Power,Right,,,2,,,,,
Foxx Dashington,Power,Right,Finesse,,2,,,,,
Jay Bedia,Contact,Left,Finesse,,2,,,,,
William Hatchet,Contact,Right,,,2,,,,,
Kolko V. Knight,Neutral,Right,,,2,,,,,
Zed Leona,Contact,Left,,,2,,,,,
Osmosis Jones,Contact,Right,,,2,,,,,
Steve Hofbardozzi Jr. Jr.,Power,Right,,,2,,,,,
Larry Wayne,Power,Right,,,2,,,,,
Donnie Lindsanity,Power,Right,,,2,,,,,
Jack Marnette,Neutral,Right,,,2,,,,,
Daz Reference,Power,Right,,,2,,,,,
Pete Wheeler,Contact,Left,,,2,,,,,
Lefty Louis,Power,Left,,,2,,,,,
Remy Roy Darling,Neutral,Left,,,2,,,,,
Johnny Hopkins,Neutral,Right,,,2,,,,,
Haroldo MacKenzie,Contact,Right,Finesse,,2,,,,,
Tim Burr,Power,Left,Strikeout,,2,,,,,
Pablo Sanchez,Contact,Left,,,2,,,,,
Simon Hans,Neutral,Right,,,2,,,,,
Chad Barrett,Neutral,Right,,,2,,,,,
Boaty McBoatface,Power,Right,,,2,,,,,
Graham Othrie,Power,Right,,,2,,,,,
Caleb VanVacter,Contact,Right,Finesse,,2,,,,,
Jay Schwizzle,Contact,Left,,,2,,,,,
Art Zyz,Neutral,Right,,,2,,,,,
Blue Moon Barthelemy,Contact,Left,Finesse,,2,,,,,
Jimbob Cooter,Neutral,Right,,,2,,,,,
Archer Moran,Neutral,Left,Strikeout,,2,,,,,
Ronald Swanson,Power,Right,,,2,,,,,
Ripken Al-Halliday,Neutral,Right,,,2,,,,,
Booker Schultz,Power,Right,,,2,,,,,
Alex Yaxley,Power,Right,,,2,,,,,
Richard Pole,Power,Right,,,2,,,,,
Eddie Collins,Contact,Left,,,2,,,,,
Stig Bond,Contact,Left,,,2,,,,,
Frankson Ahtra,Neutral,Right,,,2,,,,,
Jim Boeheim,Power,Right,,,2,,,,,
Mudflap Ricketts,Contact,Right,,,2,,,,,
Donghuge Manchild,Power,Left,,,2,,,,,
Chester Facto,Contact,Right,,,2,,,,,
El Rapido Jimenez,Neutral,Right,,,2,,,,,
Fernando Trouble,Contact,Right,,,2,,,,,
Holden Ryder,Power,Right,,,2,,,,,
Flag Amuffin,Neutral,Right,,,2,,,,,
Nina Nuckolls,Contact,Left,Finesse,,2,,,,,
Cesar Saladen,Power,Left,,,2,,,,,
Farzad Ahmadi,Contact,Right,,,2,,,,,
Chad Baret,Contact,Right,,,2,,,,,
Jasper Orbit,Contact,Left,,,2,,,,,
Gristle McThornbody,Power,Right,,,2,,,,,
Chad Masters,Power,Left,,,2,,,,,
Peter R. Otagonist,Power,Left,,,2,,,,,
Conor McRedgor,Contact,Right,,,2,,,,,
Joshua Samson Jr,Power,Right,,,2,,,,,
Methuselah Saltalamacchia,Contact,Right,,,2,,,,,
Admiral Jaylen (Fylaktidis),Neutral,Right,,,2,,,,,
Baxter Payne (bgps1180),Neutral,Right,,,2,,,,,
Tom Brazy (TomBrazy),Neutral,Right,,,2,,,,,
Brandon Aconi (baconi44),Contact,Right,,,2,,,,,
Gerrit Linguini (languid-banquet),Neutral,Left,,,2,,,,,
Bo Roldon (boroldon),Contact,Right,,,2,,,,,
Ryan Witsell (RandyJohnson74),Neutral,Right,,,2,,,,,
Salami Joe (MJA7),Power,Left,,,2,,,,,
Joshua Mador (JMocks),Power,Right,Strikeout,,2,,,,,
Lee De Leon (lnoelde),Power,Left,,,2,,,,,
Kevin Arianna,Power,Right,,,2,,,,,
Quint Kimbrel,Contact,Left,,,2,,,,,
Bobson Dugnutt,Contact,Left,,,2,,,,,
Jameson Poe,Power,Right,Finesse,,2,,,,,
Juan Diego De Las Rosas,Contact,Right,,,2,,,,,
Ethan Franklin,Power,Right,,,2,,,,,
Alex Jones,Neutral,Right,Balanced,,2,,,,,
Rickey Tucker,Neutral,Right,,,2,,,,,
Talious Greyoak,Neutral,Right,Finesse,,2,,,,,
I.M. Organic,Power,Right,,,2,,,,,
Sal Shark,Neutral,Right,Balanced,,2,,,,,
Bartholomew Crumblepuff,Power,Left,Balanced,,2,,,,,
James Earl Pwns,Power,Right,,,2,,,,,
Spaghetti Hitchens,Neutral,Right,,,2,,,,,
Ace Brasco,Contact,Left,,,2,,,,,
Cambo Dia,Contact,Left,,,2,,,,,
C.H. Lee,Neutral,Right,,,2,,,,,
Allen Kennedy,Contact,Left,,,2,,,,,
Cannonball Dickerson,Contact,Left,,,2,bruh,,,,
Thomas Nova,BP,Left,,,3,bruh,,,,
Rub A. Chikin,1B,Left,SF,S,3,,,,,
Syd Kidd,BN,Left,EG,B,3,,,,,
Tim Spooneybarger,MH,Left,BS,H,3,,,,,
Y.E. Wally,TT,Right,WC,H,3,,,,,
Haroldo MacKenzie,TT,Right,,,3,,,,,
Xavier Quinn Jr.,BP,Right,,,3,,,,,
Tony McGooch,S,Right,,,3,,,,,
Will Power,BN,Right,,,3,,,,,
Odin Luka,TT,Right,,,3,,,,,
Emmett Michael,1B,Left,,,3,,,,,
James Garfield,BC,Left,,,3,,,,,
Lucifer Putts,SM,Left,,,3,,,,,
Reimer Gonzalez,WC,Right,,,3,,,,,
A.Z. Chapman,TT,Right,,,3,,,,,
Assassin Panda,BP,Left,,,3,,,,,
Thomas Chiggins,BP,Right,BS,B,3,,,,,
Haywood Jablome,BP,Right,,,3,,,,,
Jordan Peppers,1B,Right,FP,H,3,,,,,
Moe Lester,BC,Left,BF,B,3,,,,,
Quint Kimbrel,BN,Right,NH,S,3,,,,,
Silver Edgeworth,BP,Right,BF,B,3,,,,,
Spike Suzuki,BP,Left,NT,B,3,,,,,
Michael Voorhees,BN,Left,,,3,,,,,
Nate Lewis,S,Right,,,3,,,,,
Rusty Shackleford,HK,Left,,,3,,,,,
Ben Beezle,WC,Right,,,3,,,,,
JT GarciaParr,XB,Right,,,3,,,,,
Barney Turbo,S,Right,,,3,,,,,
Eric Leeder,BC,Right,,,3,,,,,
Chad Kroeger,XB,Left,,,3,,,,,
Arata Hightower,BN,Right,,,3,,,,,
Larry Longshot,BP,Right,,,3,,,,,
Oscar Vegas,BC,Left,,,3,,,,,
Dixon Uraz,S,Left,,,3,,,,,
Jeffrey Nolan,BP,Right,,,3,,,,,
Jericho Caulfield,WC,Right,,,3,,,,,
Artanis Jones,SM,Left,BS,H,3,,,,,
Dane Konrad,BC,Left,BS,B,3,,,,,
Whitt Bass,1B,Right,NT,S,3,,,,,
Heavy Raine,BP,Left,,,3,,,,,
Thaddeus Gomorrah,BC,Right,,,3,,,,,
Viking Fishbird,TT,Right,,,3,,,,,
Jose Jose-Jose,MH,Right,,,3,,,,,
Kimberly Jongun,WC,Right,,,3,,,,,
LaPrince Frye,BC,Right,,,3,,,,,
Jackson Sanchez,XB,Right,,,3,,,,,
Ross Fire,1B,Right,,,3,,,,,
Willow Briansdóttir,WC,Right,,,3,,,,,
Austin Schwartz,1B,Left,,,3,,,,,
Blandon Brade,BP,Right,,,3,,,,,
Forrest Gleeson,BN,Right,,,3,,,,,
Amir Valerie Hurwitz,EN,Right,,,3,,,,,
Julio Cesar,BN,Right,,,3,,,,,
Markus Wölfe,EN,Left,,,3,,,,,
Rick McLightning,BN,Right,,,3,,,,,
Ziggy Cedar,S,Left,,,3,,,,,
Bear Thomas,HK,Right,,,3,,,,,
Atlas Quin,MH,Left,TT,H,3,,,,,
Nick Tit,1B,Right,NT,H,3,,,,,
Todd Bonzalez,BN,Right,BF,S,3,,,,,
Whorpus Whiff,MH,Right,TT,B,3,,,,,
Forrest Saathoff,TT,Right,,,3,,,,,
Michael Ikenberry,S,Right,EG,B,3,,,,,
Biggie Moonshota,BP,Left,,,3,,,,,
Dakota Carolina Montana,EN,Left,,,3,,,,,
Daniel Dove,BC,Right,,,3,,,,,
Dean Wesrey,1B,Left,,,3,,,,,
Erin Pickles,WC,Right,,,3,,,,,
Carter Strong,SF,Left,,,3,,,,,
Nicholas Verducci,1B,Left,,,3,,,,,
Miroslav Radovicnovizicidivizcinicizivich,BC,Right,,,3,,,,,
Bubba McCali,XB,Left,,,3,,,,,
Jack Alpha,BN,Right,BB,B,3,,,,,
Einhorn,SF,Right,TT,H,3,,,,,
Garrett Evans,BC,Right,BS,B,3,,,,,
Hank Murphy,1B,Right,FP,S,3,,,,,
Buttfart McPoopus,BP,Right,,,3,,,,,
Crimson Chin,XB,Right,,,3,,,,,
Jumbo Dick,BP,Left,,,3,,,,,
Steel Pipe Simpson,BP,Left,,,3,,,,,
Dick McScrotington IV,BC,Left,,,3,,,,,
Juan Diego De Las Rosas,1B,Right,,,3,,,,,
Les Dee-Ache,WC,Right,,,3,,,,,
Henrik Omega,BP,Left,,,3,,,,,
John Bumbus,BC,Right,,,3,,,,,
Pretzels Poffenberger,BN,Right,,,3,,,,,
Jesse Kilgannon,BC,Right,,,3,,,,,
"Joshua ""Junior"" Roth",BN,Right,,,3,,,,,
Gottlieb Giannopolous,EN,Right,,,3,,,,,
"Robert Alexander Reuel James Tiberius Kirk ""Bob"" Robb IV",S,Left,,,3,,,,,
John Johnson Jr.,S,Right,,,3,,,,,
Dick Woolridge,BP,Right,BS,B,3,,,,,
Master Cashier,SM,Right,NT,S,3,,,,,
Pete Goldinger,BC,Right,NH,B,3,,,,,
Randy Pinkwood,XB,Right,,,3,,,,,
Neiko Thorpe,BN,Left,,,3,,,,,
Buck Armstrong,BP,Right,,,3,,,,,
Kenneth Moore,BN,Left,,,3,,,,,
Tyler Phoenix,BP,Right,,,3,,,,,
Merodach Baladan,1B,Right,,,3,,,,,
Casey Nine,BC,Left,,,3,,,,,
Doc JaAm,1B,Right,,,3,,,,,
Mason Spurs,BC,Left,,,3,,,,,
Morris Deratt,BN,Left,,,3,,,,,
Mike Oxlittle,BN,Right,,,3,,,,,
Sevag Vapor,BC,Right,,,3,,,,,
Otis Nixon Sr.,MH,Left,,,3,,,,,
Sam Wood,BC,Left,TT,H,3,,,,,
Derek Bongiovanni,1B,Right,FP,B,3,,,,,
Jerome Garcia,BC,Right,BS,B,3,,,,,
Thomas Beowulf Jr.,SM,Left,BS,B,3,,,,,
Willoughby Hoose,BC,Left,TT,H,3,,,,,
Kevin Arianna,WC,Left,EG,H,3,,,,,
Rocco Rudnikov,1B,Right,,,3,,,,,
B.B. Bambino Jr.,SM,Right,,,3,,,,,
Mattress Cadaire,1B,Right,,,3,,,,,
Harry Peritestes,XB,Right,BS,H,3,,,,,
Luap Renraw,BC,Right,,,3,,,,,
Ola Gjeilo,1B,Right,,,3,,,,,
Pablo Sanchez,BN,Right,,,3,,,,,
Chaz McDunnough,S,Right,,,3,,,,,
Riles McGiles,XB,Right,,,3,,,,,
Stephen Seconds,BN,Left,,,3,,,,,
Duke Nukem,BP,Left,FP,B,3,,,,,
Triston Uzumaki,BP,Right,,,3,,,,,
Rex Kidobi,SM,Left,,,3,,,,,
Zack Andersen,EN,Right,BB,B,3,,,,,
Ethan Franklin,BC,Right,BS,S,3,,,,,
Hayden McCloud,XB,Left,WC,S,3,,,,,
Mongy Whumpus,WC,Left,1B,B,3,,,,,
Nori Aru,1B,Right,WC,S,3,,,,,
Carlos Brownson,WC,Right,,,3,,,,,
Garren Smudge,HK,Left,NH,S,3,,,,,
Dart Ragusa,MH,Right,NH,B,3,,,,,
Lloyd Gross,XB,Left,,,3,,,,,
Tyler Gordon,S,Left,,,3,,,,,
Teo Jones,S,Right,,,3,,,,,
Donnie Draper,S,Right,,,3,,,,,
Mako Bierman,BP,Left,,,3,,,,,
Rob Patterson,EN,Left,BS,H,3,,,,,
Slapshot Brady,XB,Right,,,3,,,,,
Tommy Brown,TT,Left,,,3,,,,,
Tommy Oldman,S,Right,,,3,,,,,
Homer Pimpson,TT,Left,,,3,,,,,
Jack Meloy,BP,Right,,,3,,,,,
Jerry Jingles,XB,Right,,,3,,,,,
Meerkat Timmons,EN,Left,EG,S,3,,,,,
Chipper Dipper,MH,Right,NT,B,3,,,,,
Daniel Collins,1B,Left,TT,H,3,,,,,
Pickle Rick,MH,Right,NT,H,3,,,,,
Indy Sayne,BC,Right,,,3,,,,,
Kris Jaxon,BP,Left,,,3,,,,,
Dallas Hamilton,S,Right,,,3,,,,,
Mac Aves,BC,Right,,,3,,,,,
Nikki Falke,BC,Left,,,3,,,,,
Owen Thirlwell,BC,Right,,,3,,,,,
Nikolas Romero,BN,Right,,,3,,,,,
Sam Smith,BP,Right,,,3,,,,,
Vigolashi Dongeroso,S,Left,,,3,,,,,
Zum Boehner,1B,Left,,,3,,,,,
Girth Brooks,XB,Right,,,3,,,,,
Whit Merto,BC,Right,,,3,,,,,
Rickey Tucker,XB,Right,TD,S,3,,,,,
Artie Ziff,S,Right,TT,S,3,,,,,
Geno Scaramucci,EN,Left,NT,B,3,,,,,
Lefty Louis,SF,Left,FP,S,3,,,,,
Ronald Eagle Sr.,1B,Right,FP,S,3,,,,,
Bo-Horse Jackman,BN,Right,,,3,,,,,
Todd Bonzalez II,BN,Left,,,3,,,,,
Aych Imtiyaz,BC,Right,,,3,,,,,
Clipper Charge,BC,Right,,,3,,,,,
Chad Berry,WC,Right,,,3,,,,,
Federal Credit Union Boi,EN,Right,,,3,,,,,
Ted James III,1B,Right,,,3,,,,,
Jasmine,BC,Right,BS,K,3,,,,,
Fernando Cruz,BP,Right,,,3,,,,,
Jeorjhe Jerome,BP,Right,,,3,,,,,
Clifton Outlaw,BN,Left,,,3,,,,,
Scotty Smalls,BC,Right,,,3,,,,,
Demetrios Ooga,BC,Left,NH,S,3,,,,,
Boof Jones,SM,Left,WC,B,3,,,,,
Fish Fingers,BC,Right,NH,S,3,,,,,
Valeria Lisova,XB,Left,NH,S,3,,,,,
Henry Crowell,EN,Right,,,3,,,,,
Antonin Periwinkle,XB,Left,,,3,,,,,
Ian Brandon Owen Bust,1B,Right,,,3,,,,,
Alex Peters,S,Right,,,3,,,,,
Giminy Schlimjim,BN,Right,TD,B,3,,,,,
Jeffrey LaVert,BC,Right,BS,H,3,,,,,
Lane Drew,BC,Left,,,3,,,,,
Andrew Nova,TT,Left,,,3,,,,,
Javier Tootblan,XB,Right,,,3,,,,,
João Cortez,1B,Right,,,3,,,,,
Joe Watson,WC,Right,,,3,,,,,
Swing N. Miss,1B,Right,FP,S,3,,,,,
Big Nutterstein,WC,Right,,,3,,,,,
Hans Ali,1B,Right,NH,S,3,,,,,
Icna Comit,1B,Left,FP,H,3,,,,,
Cal Tiberius Jr.,BN,Left,BF,B,3,,,,,
Lane Clementine IV,MH,Left,BS,H,3,,,,,
Teddy Blisblinne,BN,Left,NH,S,3,,,,,
Alex Moran,1B,Right,TT,B,3,,,,,
Bradle Beamen,XB,Right,,,3,,,,,
Coco Watanabe,1B,Right,,,3,,,,,
Patrick Doyle,BP,Right,,,3,,,,,
Gil Metz,XB,Left,,,3,,,,,
J.J. Guemes,1B,Right,,,3,,,,,
Tommy Testudo,WC,Right,,,3,,,,,
Gianni,BC,Right,,,3,,,,,
Chris P. Bacon,BC,Right,,,3,,,,,
G.H. Morello,BP,Right,BS,H,3,,,,,
Mike Hawk,BN,Right,,,3,,,,,
Jack Marnette,1B,Right,,,3,,,,,
Niklas Sheely,BC,Right,,,3,,,,,
Justin Dingers,XB,Right,,,3,,,,,
Pete Jones,WC,Left,EG,B,3,,,,,
Benjamin Abenduct,SM,Left,TD,S,3,,,,,
Thomas Beowulf,BN,Right,BS,S,3,,,,,
Chris Orosz,WC,Right,EG,B,3,,,,,
Charles Magnus,BP,Right,BS,S,3,,,,,
Pike Miazza,BP,Right,,,3,,,,,
King Fielder,BP,Right,,,3,,,,,
Smitty Werbenjagermanjensen,HK,Left,,,3,,,,,
Trey Rangers,BN,Right,,,3,,,,,
Zachary Benz,EN,Left,,,3,,,,,
Phil Coulson,1B,Left,,,3,,,,,
Cal Lidous,S,Right,,,3,,,,,
Ozzie Baez,BN,Right,,,3,,,,,
Ethyn Williams,TT,Left,,,3,,,,,
Matt Verdin,XB,Right,,,3,,,,,
Sadler Oriole,BC,Right,,,3,,,,,
Jake Blee,WC,Right,,,3,,,,,
Johnny Dickshot,SM,Right,NT,H,3,,,,,
Angel Leon,BN,Right,BS,B,3,,,,,
J. E. Wilkins,SF,Right,WC,B,3,,,,,
Logan Anderson,BC,Right,BF,B,3,,,,,
Levi Pyram,BC,Right,BB,B,3,,,,,
Ben Bramly,XB,Right,,,3,,,,,
Dig Bick,MH,Right,,,3,,,,,
Doob Tuber,XB,Left,,,3,,,,,
Jay Money,BP,Right,,,3,,,,,
Charles Lindberg,BP,Left,,,3,,,,,
Michael Deemer,EN,Right,,,3,,,,,
Caelan Rooney,EN,Right,,,3,,,,,
Fly Spaceman,BN,Left,,,3,,,,,
KayLee Stewart,BP,Right,,,3,,,,,
Daxton Riley,XB,Right,,,3,,,,,
Cannibal Johnson,BP,Right,,,3,,,,,
Tequila Sunrise,WC,Right,TD,B,3,,,,,
Pablo Sanchez III,SM,Right,NH,S,3,,,,,
Seik Golden,BC,Right,EG,B,3,,,,,
Tara Dactyl,TT,Right,FP,B,3,,,,,
Tommy Foxconn,SM,Right,NH,S,3,,,,,
Biff Studd,TT,Right,,,3,,,,,
S. Jay Cutler,BP,Right,,,3,,,,,
Tyrone Jennings lll,1B,Left,,,3,,,,,
Hingle McCringleberry,EN,Left,,,3,,,,,
Tyler Palmatier,BP,Right,,,3,,,,,
Layzer Gunn,XB,Right,,,3,,,,,
Oliver Skipp,BC,Right,,,3,,,,,
walnuts labonte,1B,Right,,,3,,,,,
Dirtbag Darrell,BN,Left,,,3,,,,,
Rapid Eagle,TT,Right,,,3,,,,,
Skye McDowell,EN,Right,NH,H,3,,,,,
Rich Mahogany,EN,Right,NH,H,3,,,,,
Cam Singleton,1B,Left,,,3,,,,,
JP Panik,BC,Left,,,3,,,,,
Jeff Steelflex,1B,Left,TT,H,3,,,,,
Joe Runzer,1B,Right,NT,S,3,,,,,
Mason Miller,1B,Right,BF,S,3,,,,,
Assassin Xekutioner,XB,Left,,,3,,,,,
Jimjon Jonjim,WC,Left,FP,S,3,,,,,
Max Wasson,BN,Right,,,3,,,,,
Rich Poorman,1B,Right,,,3,,,,,
Richard Humongous,BP,Right,WC,S,3,,,,,
Trontavious Saddlebags,BP,Right,,,3,,,,,
Becky McBadbat,S,Left,,,3,,,,,
Dominus Nominus,SM,Right,,,3,,,,,
Carson McSchellenturd,BP,Right,,,3,,,,,
Eric Tsai,BC,Right,,,3,,,,,
Mike Rodick,S,Right,,,3,,,,,
Jayson Burdwell,BN,Right,BB,B,3,,,,,
Charlie Yeager,BC,Left,BS,H,3,,,,,
Hudson Hildebrandt,SM,Left,TT,H,3,,,,,
Joel Embiid,S,Left,EG,S,3,,,,,
Oliver Yu,TT,Right,TD,B,3,,,,,
KC Bats,BN,Right,,,3,,,,,
Willie Dustice,TT,Left,,,3,,,,,
Conor Sexton,XB,Left,,,3,,,,,
Miguel Snow,MH,Right,,,3,,,,,
Samuel-Edward Verne-Emmanuel Newman-Costanza,EN,Left,,,3,,,,,
Scottish Tweegy,BC,Right,,,3,,,,,
Charlie Bae Jr.,SF,Left,,,3,,,,,
Dwendle Van Hammersmith,1B,Right,,,3,,,,,
Jocko Jones,BN,Right,,,3,,,,,
Chuck McCluster,XB,Right,,,3,,,,,
Autumn Halladay,BC,Left,,,3,,,,,
Jeff Dingerhitter,XB,Right,,,3,,,,,
Formal Riot,BC,Right,,,3,,,,,
Conrad Love,BN,Left,,,3,,,,,
Joe Pidgeon,WC,Right,,,3,,,,,
Jackson Takegi,1B,Right,,,3,,,,,
Jimmy Johns,SM,Left,,,3,,,,,
Basebally McBaseballface,WC,Left,WC,H,3,,,,,
Dylan Green,1B,Right,TD,H,3,,,,,
Foxx Dashington,XB,Right,EG,B,3,,,,,
Garitek,TT,Right,,,3,,,,,
Moose McCracken,BC,Right,,,3,,,,,
Emer Bock,BN,Left,,,3,,,,,
Jameson Poe,BP,Right,,,3,,,,,
Buckeye Logan II,BC,Right,,,3,,,,,
Splash Nelson,1B,Right,,,3,,,,,
Junior Biggins,1B,Left,,,3,,,,,
Lance Lummox,BN,Right,,,3,,,,,
Sunshine Pardue,S,Left,,,3,,,,,
Ashton Westenburg,BC,Right,,,3,,,,,
Demondre Bradford,TT,Left,,,3,,,,,
Joey Bagpipes,HK,Right,,,3,,,,,
A.J. Preller,MH,Left,BS,B,3,,,,,
Filet-Mignon Jackson,SM,Left,WC,S,3,,,,,
Richard Saks,SM,Right,BS,H,3,,,,,
Sylvester Cinnamon,SF,Left,BS,B,3,,,,,
C.J. Yantzi,SF,Right,,,3,,,,,
Caleb Aiken,WC,Right,,,3,,,,,
Caleb Athen,XB,Left,BS,H,3,,,,,
Chaz Gorbachuck,S,Right,,,3,,,,,
Makesiondon Kelkboom,1B,Right,,,3,,,,,
Forehead Jones,MH,Left,,,3,,,,,
Drew Savage,BC,Right,,,3,,,,,
Donked McToad,MH,Right,,,3,,,,,
Rekt Kiddo,BP,Right,,,3,,,,,
Dixie Normos,S,Right,,,3,,,,,
Benjamin Baeurkemper,WC,Left,,,3,,,,,
Dwayne Stevenson,XB,Right,,,3,,,,,
Solf J. Kimblee,WC,Left,,,3,,,,,
Darth Vader,1B,Right,BS,S,3,,,,,
Andrew Peters,BN,Left,BS,H,3,,,,,
Eric Cowan,BN,Right,,,3,,,,,
Isaac Snowbender,WC,Right,,,3,,,,,
Picov Andropov,EN,Right,,,3,,,,,
Jonathan Park,BP,Right,,,3,,,,,
River Ride,1B,Right,,,3,,,,,
Heinrich Frosch,SF,Left,,,3,,,,,
Emma Twatson,EN,Right,nh,h,3,,,,,
Ty Johnson,BP,Right,,,3,,,,,
Hunter Tuzero,XB,Right,,,3,,,,,
Alexander Hamilton,HK,Left,,,3,,,,,
Chunky Dongmeister,MH,Left,,,3,,,,,
Kentho Birne,1B,Left,,,3,,,,,
Lightning Balls,BC,Right,,,3,,,,,
Buster Hyman,BP,Left,,,3,,,,,
Filib Al'anhar JR.,1B,Right,BS,S,3,,,,,
Jordon Canning,MH,Right,FP,S,3,,,,,
Jack Jackie Jackson,MH,Right,,,3,,,,,
Chuck Tingle,BP,Left,,,3,,,,,
Clip Toller,BP,Left,,,3,,,,,
Stan Mann,1B,Right,,,3,,,,,
Aaron Icecream,XB,Right,,,3,,,,,
Dong Soto,TT,Right,,,3,,,,,
Goldie Jones,WC,Right,,,3,,,,,
Matt Himynamis,BP,Right,NH,S,3,,,,,
Connor Morgan,BC,Right,,,3,,,,,
Supreme Asslord,1B,Left,,,3,,,,,
Javier Abiscal,BC,Left,,,3,,,,,
Jingo Bajingo,BP,Right,,,3,,,,,
Marcus Hammond,BN,Right,,,3,,,,,
Buzz Schwinghammer,BP,Right,,,3,,,,,
Captain Bryzzo,EN,Left,,,3,,,,,
Grimm Carp,BP,Right,,,3,,,,,
Tre Nichols,1B,Left,,,3,,,,,
Babatunde Oladotun,BP,Right,NT,S,3,,,,,
Daoud Mata,MH,Right,TT,H,3,,,,,
Ed Turner,BC,Right,BB,S,3,,,,,
Mike Broson,SM,Right,NT,S,3,,,,,
Tanner Hendrix,BN,Left,BS,H,3,,,,,
Wade Wilson,BN,Right,BF,B,3,,,,,
Isaac Saffron,1B,Left,,,3,,,,,
"Gimpy ""Schlemp"" Schlempteen the 32nd",1B,Right,,,3,,,,,
Lawrence Wiseman,BP,Right,,,3,,,,,
Cue Anon,1B,Right,,,3,,,,,
Fuzzy Dunlop,1B,Left,,,3,,,,,
Spitz McGregor III,HK,Right,,,3,,,,,
Dom Stakes,BC,Right,,,3,,,,,
Storm Johnson,BC,Right,,,3,,,,,
Anatoli Smorin,1B,Left,,,3,,,,,
Doug Quail,MH,Right,,,3,,,,,
Peter Peckershine,BC,Right,,,3,,,,,
Joey McCarty,XB,Right,BS,B,3,,,,,
Amelia Black,MH,Right,BS,S,3,,,,,
Haydn Werfer,S,Left,BS,S,3,,,,,
Lord Dennis Birdington IV,S,Right,NT,B,3,,,,,
Ryan Gastings,SM,Left,EG,B,3,,,,,
S.A.R. Dinka,1B,Right,WC,H,3,,,,,
Mylo Grams,BC,Right,,,3,,,,,
Quentin Adams,BP,Right,,,3,,,,,
Doughy Blobbo,WC,Right,,,3,,,,,
Jake Wexler,HK,Left,,,3,,,,,
Graham Grams,SF,Left,,,3,,,,,
Iris Solstace,BP,Right,,,3,,,,,
Maddy Berg,BC,Right,,,3,,,,,
Myler Kurray,XB,Left,,,3,,,,,
Ovaltine Jenkins,BC,Right,,,3,,,,,
Sven Jorgenson,BC,Right,,,3,,,,,
Catfish O'Acid,BC,Right,,,3,,,,,
Tom Crean,BC,Left,,,3,,,,,
Cole Martinez,S,Right,,,3,,,,,
Josh Gordon,S,Left,,,3,,,,,
Victor Justice,BN,Left,,,3,,,,,
Rabbi Chase,BN,Right,BB,B,3,,,,,
Caleb Miller,EN,Right,BF,H,3,,,,,
Superbone Threefinger,1B,Right,EG,B,3,,,,,
Barney Summers,1B,Left,,,3,,,,,
Joe Random,BP,Right,,,3,,,,,
Dallas Houston,BP,Right,,,3,,,,,
Duke McCracken,BP,Right,,,3,,,,,
John Fitz,BC,Right,,,3,,,,,
Takahiro Hirasawa,BC,Left,,,3,,,,,
Jered Bentley,SF,Right,,,3,,,,,
Joe Trundle,BP,Right,,,3,,,,,
Dixie Wrecked,BP,Left,,,3,,,,,
Spike McBride,BN,Right,,,3,,,,,
Dog Man,XB,Right,,,3,,,,,
Dig Bick,MH,Right,,,3,,,,,
Benjamin 'Benji' Bjorn,WC,Right,,,3,,,,,
Overdi Fenz,SM,Right,,,3,,,,,
iato yalf,TT,Left,,,3,bruh,,,,
Lord Dennis Birdington IV,S,Right,NT,B,4,,,,,
Ryan Gastings,SM,Left,EG,B,4,,,,,
S.A.R. Dinka,1B,Right,WC,H,4,,,,,
Mylo Grams,BC,Right,FP,S,4,,,,,
Phoenix Wright,TT,Right,,,4,,,,,
Graham Grams,SF,Left,,,4,,,,,
Captain Harry C Legs,1B,Left,,,4,,,,,
Jeremy Carolina,XB,Right,,,4,,,,,
Jay Peg,WC,Right,,,4,,,,,
Sven Jorgenson,BC,Right,,,4,,,,,
Tsun Dere,XB,Right,,,4,,,,,
Scherbie Fully-Loaded,S,Right,,,4,,,,,
Rabbi Chase,BN,Right,BB,B,4,,,,,
Superbone Threefinger,1B,Right,EG,B,4,,,,,
Aaron Burr,BN,Right,TT,H,4,,,,,
Skinny Bear Brown Hill,BN,Right,BS,B,4,,,,,
Barney Summers,1B,Left,,,4,,,,,
Joe Random,BP,Right,,,4,,,,,
